n	series	time
32	x86_64	4367.978621599682
64	x86_64	7923.126086867285
128	x86_64	14725.994254918067
256	x86_64	28934.150748345204
512	x86_64	56282.08960033397
1024	x86_64	110896.72779114859
2048	x86_64	220211.6453743592
4096	x86_64	439454.6762857432
8192	x86_64	877819.9473015951
16384	x86_64	1753053.5313239954
32768	x86_64	3504652.9449937223
65536	x86_64	7014763.75998027
131072	x86_64	14032434.880064102
262144	x86_64	28111043.84003556
524288	x86_64	56636037.250124596
1048576	x86_64	123266788.66702424
32	riscv64	10735.017782952467
64	riscv64	19051.714571650158
128	riscv64	35169.20210757771
256	riscv64	68242.98528545992
512	riscv64	132830.08733932851
1024	riscv64	262094.44487714785
2048	riscv64	520592.81279746705
4096	riscv64	1038623.0327464916
8192	riscv64	2074101.2674816968
16384	riscv64	4144557.1289965385
32768	riscv64	8280765.309053309
65536	riscv64	16548883.347284226
131072	riscv64	33090353.01208496
262144	riscv64	66172838.21105957
524288	riscv64	132204246.5209961
1048576	riscv64	276588678.35998535
