n	series	time
32	x86_64	3354.3549175884796
64	x86_64	6074.272816249315
128	x86_64	11186.903898174169
256	x86_64	21994.690417751048
512	x86_64	42546.66407441281
1024	x86_64	83515.23902682726
2048	x86_64	165560.79588445567
4096	x86_64	329874.6248822301
8192	x86_64	659236.8491998318
16384	x86_64	1318376.446324486
32768	x86_64	2636991.2452794793
65536	x86_64	5276753.734864487
131072	x86_64	10556617.590874808
262144	x86_64	21155217.939381007
524288	x86_64	42657468.50001051
1048576	x86_64	95411870.5714271
32	riscv64	8983.898820075543
64	riscv64	15708.176308169077
128	riscv64	28711.796980397048
256	riscv64	55428.97573552683
512	riscv64	107369.62552633109
1024	riscv64	211090.86474561534
2048	riscv64	418765.69318999513
4096	riscv64	833979.0962592069
8192	riscv64	1664414.8599533807
16384	riscv64	3329490.479968843
32768	riscv64	6645395.642235165
65536	riscv64	13329212.482158955
131072	riscv64	26655747.34027569
262144	riscv64	53365927.476149336
524288	riscv64	109723295.48427036
1048576	riscv64	225845416.3869222
