n	series	time
32	O0	31384.90635575719
64	O0	54640.41855569883
128	O0	97996.1180918281
256	O0	193235.3669249867
512	O0	370752.9973514854
1024	O0	745646.5835100911
2048	O0	1487716.929935786
4096	O0	2965774.317799206
8192	O0	5972994.939650656
16384	O0	11925729.254240435
32768	O0	23798514.86204706
65536	O0	46970815.26658925
131072	O0	95401177.42861703
262144	O0	190800866.49955773
524288	O0	363627517.00107765
1048576	O0	721610680.0005946
32	O3	4295.428205651168
64	O3	6691.8620242064
128	O3	10984.010362346235
256	O3	20196.07999474231
512	O3	37320.30743733347
1024	O3	71587.54939547296
2048	O3	140030.59057551256
4096	O3	284862.0719428367
8192	O3	634100.7740601249
16384	O3	1260040.9018026816
32768	O3	2501265.491758074
65536	O3	4986526.284899031
131072	O3	9947759.764535086
262144	O3	20078808.920724053
524288	O3	40754542.63126149
1048576	O3	82116156.81648254
32	O3-openmp	4270.485073296719
64	O3-openmp	6628.976745125451
128	O3-openmp	10896.38237337167
256	O3-openmp	19948.917341853194
512	O3-openmp	37047.08577135933
1024	O3-openmp	70909.02478303229
2048	O3-openmp	138949.25020024474
4096	O3-openmp	282614.35152304295
8192	O3-openmp	629552.0909512826
16384	O3-openmp	1250329.1879381451
32768	O3-openmp	2487703.418055325
65536	O3-openmp	4957352.969663363
131072	O3-openmp	9925954.682486398
262144	O3-openmp	19994653.974260602
524288	O3-openmp	40594479.61695054
1048576	O3-openmp	81764072.17979431
