n	series	time
32	O0	34145.001170204385
64	O0	59867.8661819379
128	O0	107911.55095721074
256	O0	208736.91467761897
512	O0	401164.2040104744
1024	O0	808633.5292155332
2048	O0	1659118.1205680547
4096	O0	3301118.3820733246
8192	O0	6574750.14153499
16384	O0	13125321.000017103
32768	O0	26209650.25926125
65536	O0	52436878.61534104
131072	O0	104531954.85700105
262144	O0	209138625.33294985
524288	O0	423885627.99897045
1048576	O0	855264359.0010121
32	O3	4479.762912502709
64	O3	7131.019141970784
128	O3	11827.571626813276
256	O3	21934.33764044371
512	O3	40818.255716265936
1024	O3	78547.06105795458
2048	O3	153603.66782782134
4096	O3	304267.6976223398
8192	O3	606506.314628568
16384	O3	1210815.571829599
32768	O3	2422724.628118495
65536	O3	4831447.272465147
131072	O3	9645899.681195822
262144	O3	19272883.733113606
524288	O3	38465009.795294866
1048576	O3	88677674.53193665
32	O3-openmp	4465.9504628140885
64	O3-openmp	7056.347649603971
128	O3-openmp	11686.18270006225
256	O3-openmp	21560.29407674942
512	O3-openmp	40250.11127318845
1024	O3-openmp	77373.30539487697
2048	O3-openmp	151693.3945598557
4096	O3-openmp	300400.1476692059
8192	O3-openmp	599934.0802660944
16384	O3-openmp	1202348.639203616
32768	O3-openmp	2402033.70786693
65536	O3-openmp	4788170.122120478
131072	O3-openmp	9564556.487619061
262144	O3-openmp	19118702.089464344
524288	O3-openmp	38328912.52305773
1048576	O3-openmp	88460624.21798706
