n	series	time
32	O0	51503.68035024601
64	O0	82844.18354844094
128	O0	144932.47691976232
256	O0	273023.0814556605
512	O0	522929.4567364748
1024	O0	1022264.0350787309
2048	O0	2005597.1866430237
4096	O0	3972129.388289018
8192	O0	7916000.451934472
16384	O0	15801164.236935703
32768	O0	31506159.088828348
65536	O0	62942916.69672186
131072	O0	125997543.33496094
262144	O0	252934694.29016113
524288	O0	506420373.916626
1048576	O0	1029054164.8864746
32	O3	10654.129688037046
64	O3	18992.52424260314
128	O3	35271.453876637555
256	O3	68783.93549897142
512	O3	133424.65477428216
1024	O3	264459.1661142681
2048	O3	525373.2383430183
4096	O3	1047573.0467699245
8192	O3	2080400.0752312797
16384	O3	4167957.418769069
32768	O3	8339941.501617432
65536	O3	16653475.307282947
131072	O3	33315000.07992699
262144	O3	66633527.92913263
524288	O3	133292293.54858398
1048576	O3	278506517.4102783
32	O3-openmp	10735.017782952467
64	O3-openmp	19051.714571650158
128	O3-openmp	35169.20210757771
256	O3-openmp	68242.98528545992
512	O3-openmp	132830.08733932851
1024	O3-openmp	262094.44487714785
2048	O3-openmp	520592.81279746705
4096	O3-openmp	1038623.0327464916
8192	O3-openmp	2074101.2674816968
16384	O3-openmp	4144557.1289965385
32768	O3-openmp	8280765.309053309
65536	O3-openmp	16548883.347284226
131072	O3-openmp	33090353.01208496
262144	O3-openmp	66172838.21105957
524288	O3-openmp	132204246.5209961
1048576	O3-openmp	276588678.35998535
