n	series	time
32	O0	49630.49359167667
64	O0	80093.92571897065
128	O0	140429.88359688755
256	O0	263084.69177635876
512	O0	503172.5697952128
1024	O0	984301.3380880409
2048	O0	1944160.4614257812
4096	O0	3858023.585535545
8192	O0	7677683.463463416
16384	O0	15318170.837734057
32768	O0	30710313.631140668
65536	O0	61126730.65879128
131072	O0	122903545.6975301
262144	O0	245414574.94099936
524288	O0	491917252.5405884
1048576	O0	980428934.09729
32	O3	10070.940756781993
64	O3	17807.480336024357
128	O3	32816.34044138757
256	O3	63637.55053226725
512	O3	123879.19757392611
1024	O3	244311.9184317007
2048	O3	483111.4442290732
4096	O3	961184.9935707396
8192	O3	1921865.3848726456
16384	O3	3851878.774035108
32768	O3	7668476.838331956
65536	O3	15314812.245576277
131072	O3	30650729.718415633
262144	O3	61187375.6755482
524288	O3	122433861.09670003
1048576	O3	257016181.94580078
32	O3-openmp	10133.162886098726
64	O3-openmp	17805.265478762885
128	O3-openmp	32654.82959357769
256	O3-openmp	63218.45749350398
512	O3-openmp	122831.0331322835
1024	O3-openmp	241955.51995957282
2048	O3-openmp	480547.78256805777
4096	O3-openmp	956988.0740890086
8192	O3-openmp	1912138.5011516633
16384	O3-openmp	3819813.493822442
32768	O3-openmp	7636277.57196841
65536	O3-openmp	15257679.897805918
131072	O3-openmp	30528327.693109926
262144	O3-openmp	61015432.531183414
524288	O3-openmp	122079292.93314616
1048576	O3-openmp	256097555.16052246
