n	series	time
32	O0	63035.97494743366
64	O0	106945.14864939211
128	O0	195394.2868770934
256	O0	377112.21386449813
512	O0	729352.3292182755
1024	O0	1434744.7506945725
2048	O0	2843593.1942327237
4096	O0	5640714.399276241
8192	O0	11260740.218623992
16384	O0	22486532.888104837
32768	O0	44397532.93991089
65536	O0	88445514.4405365
131072	O0	176827967.16690063
262144	O0	353447794.9142456
524288	O0	710093736.6485596
1048576	O0	1434133291.2445068
32	O3	11670.542667054808
64	O3	20978.774447470292
128	O3	39076.04780710193
256	O3	76073.2948100159
512	O3	148565.25959859366
1024	O3	294297.2590917314
2048	O3	583151.8931368904
4096	O3	1163057.7969670098
8192	O3	2330388.7376753595
16384	O3	4643615.507921636
32768	O3	9289735.158284506
65536	O3	18567750.32846551
131072	O3	37035640.91732627
262144	O3	76040532.85386828
524288	O3	148127269.74487305
1048576	O3	307885766.0293579
32	O3-openmp	11739.423662317653
64	O3-openmp	21058.196165151876
128	O3-openmp	39179.0212931914
256	O3-openmp	76267.50342193182
512	O3-openmp	148955.3433272351
1024	O3-openmp	294522.07709560875
2048	O3-openmp	585260.1518192051
4096	O3-openmp	1167449.156443278
8192	O3-openmp	2333302.4978637695
16384	O3-openmp	4667088.190714519
32768	O3-openmp	9329652.786254883
65536	O3-openmp	18643711.742601898
131072	O3-openmp	37296935.13167532
262144	O3-openmp	74597597.12219238
524288	O3-openmp	149212121.96350098
1048576	O3-openmp	310246944.42749023
