n	series	time
32	GCC	10735.017782952467
64	GCC	19051.714571650158
128	GCC	35169.20210757771
256	GCC	68242.98528545992
512	GCC	132830.08733932851
1024	GCC	262094.44487714785
2048	GCC	520592.81279746705
4096	GCC	1038623.0327464916
8192	GCC	2074101.2674816968
16384	GCC	4144557.1289965385
32768	GCC	8280765.309053309
65536	GCC	16548883.347284226
131072	GCC	33090353.01208496
262144	GCC	66172838.21105957
524288	GCC	132204246.5209961
1048576	GCC	276588678.35998535
32	Clang	6061.2394898163675
64	Clang	9810.526831530375
128	Clang	16861.461116596416
256	Clang	31621.44839419106
512	Clang	59922.502213653774
1024	Clang	116224.39019317729
2048	Clang	228888.4586758084
4096	Clang	453749.030577387
8192	Clang	905740.1531263897
16384	Clang	1814633.4534482018
32768	Clang	3634859.2432051743
65536	Clang	7228040.20360573
131072	Clang	14433215.061823526
262144	Clang	28974900.643030804
524288	Clang	57862500.34968058
1048576	Clang	127540469.1696167
