n	series	time
32	O0	37515.93423016881
64	O0	66688.54578359732
128	O0	125081.10345470828
256	O0	242284.51002775956
512	O0	475163.82472701446
1024	O0	942482.2140000664
2048	O0	1877621.5361897056
4096	O0	3748688.604288148
8192	O0	7495816.580656107
16384	O0	14991886.297874326
32768	O0	29985668.565211162
65536	O0	59910273.916708924
131072	O0	119701598.49988705
262144	O0	239358803.99949384
524288	O0	481392855.50132626
1048576	O0	965084807.0014036
32	O3	4422.856617688377
64	O3	8002.265572475911
128	O3	14840.72495921253
256	O3	29113.157319190756
512	O3	56561.64727288985
1024	O3	111469.60888239631
2048	O3	221559.40284818236
4096	O3	440661.5242281909
8192	O3	879947.2402557203
16384	O3	1760261.9622225265
32768	O3	3517656.8442273205
65536	O3	7027750.888877874
131072	O3	14051663.299978826
262144	O3	28152639.479958452
524288	O3	56750508.23097431
1048576	O3	123329608.83334939
32	O3-openmp	4446.133024514666
64	O3-openmp	8035.680986061403
128	O3-openmp	14974.46956281207
256	O3-openmp	28926.77188309555
512	O3-openmp	55679.28488446555
1024	O3-openmp	109582.35754569717
2048	O3-openmp	217520.69919194153
4096	O3-openmp	433135.64975226717
8192	O3-openmp	865403.5197993142
16384	O3-openmp	1731688.8886150739
32768	O3-openmp	3458841.2722814158
65536	O3-openmp	6925360.504958529
131072	O3-openmp	13832759.000069927
262144	O3-openmp	27705041.320004962
524288	O3-openmp	55919941.461559996
1048576	O3-openmp	121661118.33357717
