n	series	time
32	O0	50526.594432302416
64	O0	92116.29489885585
128	O0	174900.82737908032
256	O0	341648.1755241599
512	O0	674598.6258426973
1024	O0	1340218.883359849
2048	O0	2672511.1068651844
4096	O0	5344416.106882672
8192	O0	10686176.469706962
16384	O0	21376977.181772057
32768	O0	42733528.68744951
65536	O0	85410317.62524654
131072	O0	171392581.7502968
262144	O0	341635740.50035095
524288	O0	684400554.0006037
1048576	O0	1382070594.9983675
32	O3	4498.586199150144
64	O3	8163.129745632395
128	O3	15165.622972473691
256	O3	29711.146741788933
512	O3	57748.24779401287
1024	O3	113882.80455669918
2048	O3	226132.55085491738
4096	O3	450125.85337571736
8192	O3	899008.2969129428
16384	O3	1798211.2699276425
32768	O3	3587334.738459993
65536	O3	7078685.717164207
131072	O3	14164198.102068385
262144	O3	28398227.12005116
524288	O3	57771927.58311382
1048576	O3	126036531.66661388
32	O3-openmp	4497.975559953263
64	O3-openmp	8154.876031513777
128	O3-openmp	15265.691404816394
256	O3-openmp	29743.17436478
512	O3-openmp	56972.55041022867
1024	O3-openmp	112196.3972758376
2048	O3-openmp	222840.2750406878
4096	O3-openmp	443874.59035966656
8192	O3-openmp	886895.6666667217
16384	O3-openmp	1772604.9974704336
32768	O3-openmp	3545452.1218391885
65536	O3-openmp	7089815.214292648
131072	O3-openmp	14186885.285699664
262144	O3-openmp	28427959.280088544
524288	O3-openmp	57307467.00010058
1048576	O3-openmp	124671507.83292407
