n	series	time
32	O0	32379.58149320788
64	O0	57406.45437417111
128	O0	107271.81147687175
256	O0	207359.50326713797
512	O0	406470.8446389557
1024	O0	805789.7551737567
2048	O0	1603770.1784844352
4096	O0	3200482.589045973
8192	O0	6396289.545459282
16384	O0	12776264.472764028
32768	O0	25550981.25918044
65536	O0	51059563.57147079
131072	O0	102183773.85691772
262144	O0	204376996.99929604
524288	O0	411134795.5004021
1048576	O0	823973010.9999073
32	O3	3573.7734429165266
64	O3	6402.961083313175
128	O3	11724.189438466205
256	O3	22990.451349236762
512	O3	44392.804236128126
1024	O3	87276.64356928194
2048	O3	173070.42062303462
4096	O3	344493.4099418136
8192	O3	688503.8602362558
16384	O3	1375871.2514792616
32768	O3	2751758.7598516354
65536	O3	5496752.913382434
131072	O3	10986656.285702279
262144	O3	22032941.437487353
524288	O3	44468955.93764566
1048576	O3	99053052.42864415
32	O3-openmp	3586.598122666642
64	O3-openmp	6405.606207859558
128	O3-openmp	11852.7997833497
256	O3-openmp	23128.296306115673
512	O3-openmp	44556.887170810885
1024	O3-openmp	87427.61189573638
2048	O3-openmp	173299.689280002
4096	O3-openmp	344714.487444682
8192	O3-openmp	688787.3905348714
16384	O3-openmp	1376388.9744119856
32768	O3-openmp	2753239.0866140556
65536	O3-openmp	5497428.77164257
131072	O3-openmp	10984540.390609255
262144	O3-openmp	22020790.437522918
524288	O3-openmp	44498526.06239802
1048576	O3-openmp	99006940.71412934
