n	series	time
32	GCC	11756282.12283635
64	GCC	23359572.96660733
128	GCC	46299204.40008088
256	GCC	92161001.49978957
512	GCC	183749243.749844
1024	GCC	367414870.49948776
2048	GCC	734145041.9989997
4096	GCC	1467807983.0009665
8192	GCC	2934439404.9985566
16384	GCC	5870801608.99859
32768	GCC	11743754257.000546
32	Clang	7377840.586978773
64	Clang	14298052.877592808
128	Clang	28030491.919926133
256	Clang	55463974.769316755
512	Clang	110393662.00020595
1024	Clang	219939187.00051534
2048	Clang	439192072.0008784
4096	Clang	876080362.9993461
8192	Clang	1757512962.0017834
16384	Clang	3514022325.998667
32768	Clang	6955869050.001638
