n	series	time
32	GCC	6021769.423233835
64	GCC	12077989.249393858
128	GCC	23874011.533013705
256	GCC	47722578.048706055
512	GCC	95197507.31331961
1024	GCC	194773018.36013794
2048	GCC	380039453.5064697
4096	GCC	767271995.5444336
8192	GCC	1522262811.6607666
16384	GCC	3019198179.244995
32768	GCC	6083853483.200073
32	Clang	6116839.3918446135
64	Clang	12403850.044522967
128	Clang	25112424.57798549
256	Clang	50011822.15554374
512	Clang	102477959.22415598
1024	Clang	202994108.20007324
2048	Clang	402127385.13946533
4096	Clang	804183244.7052002
8192	Clang	1517823457.7178955
16384	Clang	3128655910.4919434
32768	Clang	6079336881.637573
