n	series	time
32	GCC	4506518.896772421
64	GCC	4497733.006409805
128	GCC	4508575.193552045
256	GCC	4501277.425808967
512	GCC	4518980.219361237
1024	GCC	4549790.396110922
2048	GCC	4611100.388142643
4096	GCC	4731004.817561345
8192	GCC	4948577.276597803
16384	GCC	5382021.0307514155
32768	GCC	6269588.7410687385
65536	GCC	8061881.6436667815
131072	GCC	11635675.016683914
262144	GCC	18763767.91895726
524288	GCC	32931076.047610812
1048576	GCC	61546789.090987824
32	Clang	5037772.930008941
64	Clang	5021844.669048366
128	Clang	5019493.884901749
256	Clang	5029811.949655289
512	Clang	5048582.652175421
1024	Clang	5077371.528993051
2048	Clang	5141531.4705991475
4096	Clang	5266886.624052229
8192	Clang	5494644.562503481
16384	Clang	5978864.504277615
32768	Clang	6937697.91091609
65536	Clang	8887993.164581196
131072	Clang	12758380.581825888
262144	Clang	20418516.088230878
524288	Clang	35758280.34990991
1048576	Clang	66426024.54534922
