n	series	time
32	GCC	4743274.80470812
64	GCC	4732102.961153598
128	GCC	4739350.563771016
256	GCC	4747032.3082541125
512	GCC	4765113.194783528
1024	GCC	4796852.804210088
2048	GCC	4860778.64964803
4096	GCC	4978386.222893464
8192	GCC	5199181.592022931
16384	GCC	5619650.886904809
32768	GCC	6474011.47418552
65536	GCC	8206785.426420324
131072	GCC	11647911.866505941
262144	GCC	18501564.07607229
524288	GCC	32056353.308937766
1048576	GCC	59675077.59730021
32	Clang	4963600.418447015
64	Clang	4967537.978719771
128	Clang	4963593.460980255
256	Clang	4961306.666668442
512	Clang	4977468.19857626
1024	Clang	4909575.835725783
2048	Clang	5001110.379998864
4096	Clang	5109399.613143832
8192	Clang	5323818.183187679
16384	Clang	5752653.157039524
32768	Clang	6628393.396241799
65536	Clang	8399801.73491696
131072	Clang	11943851.966091227
262144	Clang	19028504.081074357
524288	Clang	33130621.523880452
1048576	Clang	61358595.00004285
