n	series	time
32	x86_64	4498.586199150144
64	x86_64	8163.129745632395
128	x86_64	15165.622972473691
256	x86_64	29711.146741788933
512	x86_64	57748.24779401287
1024	x86_64	113882.80455669918
2048	x86_64	226132.55085491738
4096	x86_64	450125.85337571736
8192	x86_64	899008.2969129428
16384	x86_64	1798211.2699276425
32768	x86_64	3587334.738459993
65536	x86_64	7078685.717164207
131072	x86_64	14164198.102068385
262144	x86_64	28398227.12005116
524288	x86_64	57771927.58311382
1048576	x86_64	126036531.66661388
32	riscv64	6330.397467048677
64	riscv64	10787.918823746486
128	riscv64	19042.8666150928
256	riscv64	36245.1029245876
512	riscv64	69332.62319614859
1024	riscv64	135673.2425002431
2048	riscv64	267954.7449660128
4096	riscv64	533126.2605919685
8192	riscv64	1064084.9458410384
16384	riscv64	2127624.934929845
32768	riscv64	4257926.126805748
65536	riscv64	8507013.320922852
131072	riscv64	17000256.515130766
262144	riscv64	33986295.97255162
524288	riscv64	67911601.06658936
1048576	riscv64	147310638.42773438
