n	series	time
32	x86_64	35910.20041063712
64	x86_64	61601.48011767712
128	x86_64	113336.66947545868
256	x86_64	217688.1436574588
512	x86_64	425232.3207770005
1024	x86_64	840129.158463447
2048	x86_64	1670200.0453442626
4096	x86_64	3330954.3333286587
8192	x86_64	6644149.142846886
16384	x86_64	13278043.849085115
32768	x86_64	26530587.499879543
65536	x86_64	53044409.615652576
131072	x86_64	108486714.83351307
262144	x86_64	217038139.33345374
524288	x86_64	437214851.50126684
1048576	x86_64	878139529.0025102
32	riscv64	44192.25363348206
64	riscv64	71159.23333579894
128	riscv64	123780.36669437142
256	riscv64	232248.4802448532
512	riscv64	443519.10548243363
1024	riscv64	868683.4306859259
2048	riscv64	1711791.6368970685
4096	riscv64	3387607.0162145104
8192	riscv64	6793832.315981966
16384	riscv64	13501148.597866882
32768	riscv64	26799935.560960036
65536	riscv64	53495608.84328989
131072	riscv64	106901918.13877651
262144	riscv64	213111400.60424805
524288	riscv64	430002927.78015137
1048576	riscv64	863560676.574707
