n	series	time
32	GCC	3354.3549175884796
64	GCC	6074.272816249315
128	GCC	11186.903898174169
256	GCC	21994.690417751048
512	GCC	42546.66407441281
1024	GCC	83515.23902682726
2048	GCC	165560.79588445567
4096	GCC	329874.6248822301
8192	GCC	659236.8491998318
16384	GCC	1318376.446324486
32768	GCC	2636991.2452794793
65536	GCC	5276753.734864487
131072	GCC	10556617.590874808
262144	GCC	21155217.939381007
524288	GCC	42657468.50001051
1048576	GCC	95411870.5714271
32	Clang	3586.598122666642
64	Clang	6405.606207859558
128	Clang	11852.7997833497
256	Clang	23128.296306115673
512	Clang	44556.887170810885
1024	Clang	87427.61189573638
2048	Clang	173299.689280002
4096	Clang	344714.487444682
8192	Clang	688787.3905348714
16384	Clang	1376388.9744119856
32768	Clang	2753239.0866140556
65536	Clang	5497428.77164257
131072	Clang	10984540.390609255
262144	Clang	22020790.437522918
524288	Clang	44498526.06239802
1048576	Clang	99006940.71412934
