n	series	time
32	O0	31737.266712220237
64	O0	54869.38623568719
128	O0	100727.72585992469
256	O0	193126.16110305654
512	O0	376773.7804088446
1024	O0	743846.7513291647
2048	O0	1477591.5611830647
4096	O0	2966504.405070399
8192	O0	5972405.880323709
16384	O0	11943566.32204598
32768	O0	23910163.344759174
65536	O0	47942635.79994246
131072	O0	95859323.71451886
262144	O0	192173518.9998799
524288	O0	395579137.0008228
1048576	O0	792364595.9999703
32	O3	3138.467612216355
64	O3	5640.764745692416
128	O3	10445.582540237421
256	O3	20479.218555268802
512	O3	39504.942716826976
1024	O3	77515.17718746356
2048	O3	153367.01095748242
4096	O3	311761.57766021526
8192	O3	678780.9058259529
16384	O3	1353569.8626741653
32768	O3	2698821.976826851
65536	O3	5418173.398453519
131072	O3	10816703.296882223
262144	O3	21653120.49999102
524288	O3	43643317.68738338
1048576	O3	87932057.62503931
32	O3-openmp	3055.900898953985
64	O3-openmp	5552.999206233948
128	O3-openmp	10256.59412600708
256	O3-openmp	20205.232756236546
512	O3-openmp	39074.61738110211
1024	O3-openmp	76702.10552279672
2048	O3-openmp	151985.8838225794
4096	O3-openmp	309233.161731861
8192	O3-openmp	675323.6425112301
16384	O3-openmp	1347143.1346190982
32768	O3-openmp	2685827.22605186
65536	O3-openmp	5385676.612414225
131072	O3-openmp	10756144.246149164
262144	O3-openmp	21687367.09370478
524288	O3-openmp	43980699.8124368
1048576	O3-openmp	88579163.37501593
