n	series	time
32	O0	52907.60982614594
64	O0	95049.35675547496
128	O0	177926.11896246925
256	O0	344656.9423632968
512	O0	678058.1027126665
1024	O0	1342753.763911122
2048	O0	2670982.251908983
4096	O0	5334146.534349771
8192	O0	10665457.63635738
16384	O0	21318515.03024033
32768	O0	42657019.93745097
65536	O0	85295863.62510599
131072	O0	172198434.9997001
262144	O0	348190712.50058186
524288	O0	695626407.9999528
1048576	O0	1395960046.0002549
32	O3	4443.44811167713
64	O3	8298.200846354812
128	O3	15550.759760881641
256	O3	30629.76970521619
512	O3	59708.05377514613
1024	O3	117742.61284870001
2048	O3	233772.4629001667
4096	O3	465706.29027787445
8192	O3	930073.5731416197
16384	O3	1861066.5053161706
32768	O3	3718043.930851483
65536	O3	7443773.44682939
131072	O3	14879364.148927901
262144	O3	29825311.956538707
524288	O3	60093396.16654567
1048576	O3	130171898.79974468
32	O3-openmp	4378.0170195905885
64	O3-openmp	8129.528476167368
128	O3-openmp	15320.473273931315
256	O3-openmp	30302.42213661761
512	O3-openmp	59155.691508088166
1024	O3-openmp	116789.56754532254
2048	O3-openmp	232174.2252072367
4096	O3-openmp	463087.795499835
8192	O3-openmp	925244.8293669398
16384	O3-openmp	1851316.5820093094
32768	O3-openmp	3700026.613760249
65536	O3-openmp	7405399.574441191
131072	O3-openmp	14801023.021294547
262144	O3-openmp	29646692.666725963
524288	O3-openmp	59715068.66656759
1048576	O3-openmp	129431788.80013874
