n	series	time
32	O0	35910.20041063712
64	O0	61601.48011767712
128	O0	113336.66947545868
256	O0	217688.1436574588
512	O0	425232.3207770005
1024	O0	840129.158463447
2048	O0	1670200.0453442626
4096	O0	3330954.3333286587
8192	O0	6644149.142846886
16384	O0	13278043.849085115
32768	O0	26530587.499879543
65536	O0	53044409.615652576
131072	O0	108486714.83351307
262144	O0	217038139.33345374
524288	O0	437214851.50126684
1048576	O0	878139529.0025102
32	O3	3381.409926980167
64	O3	6098.3443317067195
128	O3	11140.628441395938
256	O3	21779.484965303327
512	O3	41986.55209647543
1024	O3	82369.4984706783
2048	O3	163053.72077317315
4096	O3	324421.5041698321
8192	O3	647864.0148269967
16384	O3	1306591.5167887276
32768	O3	2592854.981479899
65536	O3	5182656.1790873185
131072	O3	10368382.014918884
262144	O3	21214889.699937582
524288	O3	42502856.93751721
1048576	O3	95094356.57154037
32	O3-openmp	3354.3549175884796
64	O3-openmp	6074.272816249315
128	O3-openmp	11186.903898174169
256	O3-openmp	21994.690417751048
512	O3-openmp	42546.66407441281
1024	O3-openmp	83515.23902682726
2048	O3-openmp	165560.79588445567
4096	O3-openmp	329874.6248822301
8192	O3-openmp	659236.8491998318
16384	O3-openmp	1318376.446324486
32768	O3-openmp	2636991.2452794793
65536	O3-openmp	5276753.734864487
131072	O3-openmp	10556617.590874808
262144	O3-openmp	21155217.939381007
524288	O3-openmp	42657468.50001051
1048576	O3-openmp	95411870.5714271
