n	type	time
32	Classic	4295.428205651168
64	Classic	6691.8620242064
128	Classic	10984.010362346235
256	Classic	20196.07999474231
512	Classic	37320.30743733347
1024	Classic	71587.54939547296
2048	Classic	140030.59057551256
4096	Classic	284862.0719428367
8192	Classic	634100.7740601249
16384	Classic	1260040.9018026816
32768	Classic	2501265.491758074
65536	Classic	4986526.284899031
131072	Classic	9947759.764535086
262144	Classic	20078808.920724053
524288	Classic	40754542.63126149
1048576	Classic	82116156.81648254
32	Cardinal{0.1}	4479.762912502709
64	Cardinal{0.1}	7131.019141970784
128	Cardinal{0.1}	11827.571626813276
256	Cardinal{0.1}	21934.33764044371
512	Cardinal{0.1}	40818.255716265936
1024	Cardinal{0.1}	78547.06105795458
2048	Cardinal{0.1}	153603.66782782134
4096	Cardinal{0.1}	304267.6976223398
8192	Cardinal{0.1}	606506.314628568
16384	Cardinal{0.1}	1210815.571829599
32768	Cardinal{0.1}	2422724.628118495
65536	Cardinal{0.1}	4831447.272465147
131072	Cardinal{0.1}	9645899.681195822
262144	Cardinal{0.1}	19272883.733113606
524288	Cardinal{0.1}	38465009.795294866
1048576	Cardinal{0.1}	88677674.53193665
32	Akima	6075.111529553259
64	Akima	9845.678638393181
128	Akima	16760.35768368919
256	Akima	31273.642618293343
512	Akima	59019.66416886084
1024	Akima	114666.41635307706
2048	Akima	225844.73109383826
4096	Akima	448440.2988294544
8192	Akima	897421.2866563064
16384	Akima	1788798.500509823
32768	Akima	3587200.702765049
65536	Akima	7165388.18515077
131072	Akima	14285335.735398896
262144	Akima	28519287.109375
524288	Akima	57020147.64149984
1048576	Akima	125430186.58955891
32	ModifiedAkima	6169.028013705154
64	ModifiedAkima	10071.412749363104
128	ModifiedAkima	17227.44817963987
256	ModifiedAkima	32212.94306901434
512	ModifiedAkima	60972.728118046114
1024	ModifiedAkima	118609.66743038702
2048	ModifiedAkima	233782.71537378142
4096	ModifiedAkima	464195.2818205249
8192	ModifiedAkima	928921.4718563171
16384	ModifiedAkima	1853472.9720423461
32768	ModifiedAkima	3718155.4956639064
65536	ModifiedAkima	7422827.659769261
131072	ModifiedAkima	14785168.018746883
262144	ModifiedAkima	29507994.651794434
524288	ModifiedAkima	58959464.23212687
1048576	ModifiedAkima	129231166.83959961
32	Steffen	6330.397467048677
64	Steffen	10787.918823746486
128	Steffen	19042.8666150928
256	Steffen	36245.1029245876
512	Steffen	69332.62319614859
1024	Steffen	135673.2425002431
2048	Steffen	267954.7449660128
4096	Steffen	533126.2605919685
8192	Steffen	1064084.9458410384
16384	Steffen	2127624.934929845
32768	Steffen	4257926.126805748
65536	Steffen	8507013.320922852
131072	Steffen	17000256.515130766
262144	Steffen	33986295.97255162
524288	Steffen	67911601.06658936
1048576	Steffen	147310638.42773438
