n	type	time
32	Classic	40251.49915514402
64	Classic	63295.912764036
128	Classic	108450.41823113101
256	Classic	198477.39641561278
512	Classic	377368.90128258104
1024	Classic	735224.356556239
2048	Classic	1447899.2129757197
4096	Classic	2948476.679654301
8192	Classic	5922865.059416173
16384	Classic	11737673.969592078
32768	Classic	23617370.923360188
65536	Classic	48460531.23474121
131072	Classic	96988950.45689175
262144	Classic	192342579.3647766
524288	Classic	386679649.35302734
1048576	Classic	769343614.5782471
32	Cardinal{0.1}	44192.25363348206
64	Cardinal{0.1}	71159.23333579894
128	Cardinal{0.1}	123780.36669437142
256	Cardinal{0.1}	232248.4802448532
512	Cardinal{0.1}	443519.10548243363
1024	Cardinal{0.1}	868683.4306859259
2048	Cardinal{0.1}	1711791.6368970685
4096	Cardinal{0.1}	3387607.0162145104
8192	Cardinal{0.1}	6793832.315981966
16384	Cardinal{0.1}	13501148.597866882
32768	Cardinal{0.1}	26799935.560960036
65536	Cardinal{0.1}	53495608.84328989
131072	Cardinal{0.1}	106901918.13877651
262144	Cardinal{0.1}	213111400.60424805
524288	Cardinal{0.1}	430002927.78015137
1048576	Cardinal{0.1}	863560676.574707
32	Akima	49630.49359167667
64	Akima	80093.92571897065
128	Akima	140429.88359688755
256	Akima	263084.69177635876
512	Akima	503172.5697952128
1024	Akima	984301.3380880409
2048	Akima	1944160.4614257812
4096	Akima	3858023.585535545
8192	Akima	7677683.463463416
16384	Akima	15318170.837734057
32768	Akima	30710313.631140668
65536	Akima	61126730.65879128
131072	Akima	122903545.6975301
262144	Akima	245414574.94099936
524288	Akima	491917252.5405884
1048576	Akima	980428934.09729
32	ModifiedAkima	51503.68035024601
64	ModifiedAkima	82844.18354844094
128	ModifiedAkima	144932.47691976232
256	ModifiedAkima	273023.0814556605
512	ModifiedAkima	522929.4567364748
1024	ModifiedAkima	1022264.0350787309
2048	ModifiedAkima	2005597.1866430237
4096	ModifiedAkima	3972129.388289018
8192	ModifiedAkima	7916000.451934472
16384	ModifiedAkima	15801164.236935703
32768	ModifiedAkima	31506159.088828348
65536	ModifiedAkima	62942916.69672186
131072	ModifiedAkima	125997543.33496094
262144	ModifiedAkima	252934694.29016113
524288	ModifiedAkima	506420373.916626
1048576	ModifiedAkima	1029054164.8864746
32	Steffen	63035.97494743366
64	Steffen	106945.14864939211
128	Steffen	195394.2868770934
256	Steffen	377112.21386449813
512	Steffen	729352.3292182755
1024	Steffen	1434744.7506945725
2048	Steffen	2843593.1942327237
4096	Steffen	5640714.399276241
8192	Steffen	11260740.218623992
16384	Steffen	22486532.888104837
32768	Steffen	44397532.93991089
65536	Steffen	88445514.4405365
131072	Steffen	176827967.16690063
262144	Steffen	353447794.9142456
524288	Steffen	710093736.6485596
1048576	Steffen	1434133291.2445068
