n	type	time
32	Classic	31737.266712220237
64	Classic	54869.38623568719
128	Classic	100727.72585992469
256	Classic	193126.16110305654
512	Classic	376773.7804088446
1024	Classic	743846.7513291647
2048	Classic	1477591.5611830647
4096	Classic	2966504.405070399
8192	Classic	5972405.880323709
16384	Classic	11943566.32204598
32768	Classic	23910163.344759174
65536	Classic	47942635.79994246
131072	Classic	95859323.71451886
262144	Classic	192173518.9998799
524288	Classic	395579137.0008228
1048576	Classic	792364595.9999703
32	Cardinal{0.1}	35910.20041063712
64	Cardinal{0.1}	61601.48011767712
128	Cardinal{0.1}	113336.66947545868
256	Cardinal{0.1}	217688.1436574588
512	Cardinal{0.1}	425232.3207770005
1024	Cardinal{0.1}	840129.158463447
2048	Cardinal{0.1}	1670200.0453442626
4096	Cardinal{0.1}	3330954.3333286587
8192	Cardinal{0.1}	6644149.142846886
16384	Cardinal{0.1}	13278043.849085115
32768	Cardinal{0.1}	26530587.499879543
65536	Cardinal{0.1}	53044409.615652576
131072	Cardinal{0.1}	108486714.83351307
262144	Cardinal{0.1}	217038139.33345374
524288	Cardinal{0.1}	437214851.50126684
1048576	Cardinal{0.1}	878139529.0025102
32	Akima	40978.76958873359
64	Akima	71612.74104430772
128	Akima	132558.26889674258
256	Akima	254656.76701797143
512	Akima	497965.3153038216
1024	Akima	984852.5218005995
2048	Akima	1957660.2234586738
4096	Akima	3904859.3296165713
8192	Akima	7800316.56666122
16384	Akima	15581252.35549394
32768	Akima	30722154.869695455
65536	Akima	61501247.09099393
131072	Akima	122875830.33321424
262144	Akima	245190546.99946234
524288	Akima	490625834.4999515
1048576	Akima	990290485.0023333
32	ModifiedAkima	42921.86637643519
64	ModifiedAkima	75279.70362374205
128	ModifiedAkima	139855.90565654138
256	ModifiedAkima	269239.4700002646
512	ModifiedAkima	527137.9397120085
1024	ModifiedAkima	1043224.1609526157
2048	ModifiedAkima	2073733.5976291054
4096	ModifiedAkima	4136167.254453744
8192	ModifiedAkima	8268199.564704178
16384	ModifiedAkima	16511871.595260648
32768	ModifiedAkima	33006473.238076847
65536	ModifiedAkima	66043625.545386344
131072	ModifiedAkima	133641346.59932461
262144	ModifiedAkima	264228340.00065148
524288	ModifiedAkima	529391117.0010688
1048576	ModifiedAkima	1065896240.9979722
32	Steffen	52907.60982614594
64	Steffen	95049.35675547496
128	Steffen	177926.11896246925
256	Steffen	344656.9423632968
512	Steffen	678058.1027126665
1024	Steffen	1342753.763911122
2048	Steffen	2670982.251908983
4096	Steffen	5334146.534349771
8192	Steffen	10665457.63635738
16384	Steffen	21318515.03024033
32768	Steffen	42657019.93745097
65536	Steffen	85295863.62510599
131072	Steffen	172198434.9997001
262144	Steffen	348190712.50058186
524288	Steffen	695626407.9999528
1048576	Steffen	1395960046.0002549
