n	type	time
32	Classic	29275.91252054162
64	Classic	51651.949911239586
128	Classic	96392.22620723465
256	Classic	186082.3684353045
512	Classic	364891.8427074932
1024	Classic	721469.7492284586
2048	Classic	1437445.297744687
4096	Classic	2873430.3032848164
8192	Classic	5794777.132228954
16384	Classic	11576571.549994698
32768	Classic	23141371.499999274
65536	Classic	46239486.53340146
131072	Classic	92504743.00006317
262144	Classic	185505662.7491649
524288	Classic	373620309.50134796
1048576	Classic	744212607.0018276
32	Cardinal{0.1}	32379.58149320788
64	Cardinal{0.1}	57406.45437417111
128	Cardinal{0.1}	107271.81147687175
256	Cardinal{0.1}	207359.50326713797
512	Cardinal{0.1}	406470.8446389557
1024	Cardinal{0.1}	805789.7551737567
2048	Cardinal{0.1}	1603770.1784844352
4096	Cardinal{0.1}	3200482.589045973
8192	Cardinal{0.1}	6396289.545459282
16384	Cardinal{0.1}	12776264.472764028
32768	Cardinal{0.1}	25550981.25918044
65536	Cardinal{0.1}	51059563.57147079
131072	Cardinal{0.1}	102183773.85691772
262144	Cardinal{0.1}	204376996.99929604
524288	Cardinal{0.1}	411134795.5004021
1048576	Cardinal{0.1}	823973010.9999073
32	Akima	37515.93423016881
64	Akima	66688.54578359732
128	Akima	125081.10345470828
256	Akima	242284.51002775956
512	Akima	475163.82472701446
1024	Akima	942482.2140000664
2048	Akima	1877621.5361897056
4096	Akima	3748688.604288148
8192	Akima	7495816.580656107
16384	Akima	14991886.297874326
32768	Akima	29985668.565211162
65536	Akima	59910273.916708924
131072	Akima	119701598.49988705
262144	Akima	239358803.99949384
524288	Akima	481392855.50132626
1048576	Akima	965084807.0014036
32	ModifiedAkima	39266.35456905618
64	ModifiedAkima	69900.40803520507
128	ModifiedAkima	130740.23789995252
256	ModifiedAkima	253069.49095526373
512	ModifiedAkima	497707.0839257476
1024	ModifiedAkima	986833.3718336095
2048	ModifiedAkima	1968276.0812378528
4096	ModifiedAkima	3931368.589874591
8192	ModifiedAkima	7855746.089855243
16384	ModifiedAkima	15704618.111097563
32768	ModifiedAkima	31437777.181715563
65536	ModifiedAkima	62925732.090992495
131072	ModifiedAkima	125515170.00004727
262144	ModifiedAkima	251544446.6674429
524288	ModifiedAkima	504960370.9994699
1048576	ModifiedAkima	1014602563.9987783
32	Steffen	50526.594432302416
64	Steffen	92116.29489885585
128	Steffen	174900.82737908032
256	Steffen	341648.1755241599
512	Steffen	674598.6258426973
1024	Steffen	1340218.883359849
2048	Steffen	2672511.1068651844
4096	Steffen	5344416.106882672
8192	Steffen	10686176.469706962
16384	Steffen	21376977.181772057
32768	Steffen	42733528.68744951
65536	Steffen	85410317.62524654
131072	Steffen	171392581.7502968
262144	Steffen	341635740.50035095
524288	Steffen	684400554.0006037
1048576	Steffen	1382070594.9983675
