n	series	time
32	GCC	40251.49915514402
64	GCC	63295.912764036
128	GCC	108450.41823113101
256	GCC	198477.39641561278
512	GCC	377368.90128258104
1024	GCC	735224.356556239
2048	GCC	1447899.2129757197
4096	GCC	2948476.679654301
8192	GCC	5922865.059416173
16384	GCC	11737673.969592078
32768	GCC	23617370.923360188
65536	GCC	48460531.23474121
131072	GCC	96988950.45689175
262144	GCC	192342579.3647766
524288	GCC	386679649.35302734
1048576	GCC	769343614.5782471
32	Clang	31384.90635575719
64	Clang	54640.41855569883
128	Clang	97996.1180918281
256	Clang	193235.3669249867
512	Clang	370752.9973514854
1024	Clang	745646.5835100911
2048	Clang	1487716.929935786
4096	Clang	2965774.317799206
8192	Clang	5972994.939650656
16384	Clang	11925729.254240435
32768	Clang	23798514.86204706
65536	Clang	46970815.26658925
131072	Clang	95401177.42861703
262144	Clang	190800866.49955773
524288	Clang	363627517.00107765
1048576	Clang	721610680.0005946
