n	series	time
32	GCC	44192.25363348206
64	GCC	71159.23333579894
128	GCC	123780.36669437142
256	GCC	232248.4802448532
512	GCC	443519.10548243363
1024	GCC	868683.4306859259
2048	GCC	1711791.6368970685
4096	GCC	3387607.0162145104
8192	GCC	6793832.315981966
16384	GCC	13501148.597866882
32768	GCC	26799935.560960036
65536	GCC	53495608.84328989
131072	GCC	106901918.13877651
262144	GCC	213111400.60424805
524288	GCC	430002927.78015137
1048576	GCC	863560676.574707
32	Clang	34145.001170204385
64	Clang	59867.8661819379
128	Clang	107911.55095721074
256	Clang	208736.91467761897
512	Clang	401164.2040104744
1024	Clang	808633.5292155332
2048	Clang	1659118.1205680547
4096	Clang	3301118.3820733246
8192	Clang	6574750.14153499
16384	Clang	13125321.000017103
32768	Clang	26209650.25926125
65536	Clang	52436878.61534104
131072	Clang	104531954.85700105
262144	Clang	209138625.33294985
524288	Clang	423885627.99897045
1048576	Clang	855264359.0010121
