n	series	time
32	x86_64	4506518.896772421
64	x86_64	4497733.006409805
128	x86_64	4508575.193552045
256	x86_64	4501277.425808967
512	x86_64	4518980.219361237
1024	x86_64	4549790.396110922
2048	x86_64	4611100.388142643
4096	x86_64	4731004.817561345
8192	x86_64	4948577.276597803
16384	x86_64	5382021.0307514155
32768	x86_64	6269588.7410687385
65536	x86_64	8061881.6436667815
131072	x86_64	11635675.016683914
262144	x86_64	18763767.91895726
524288	x86_64	32931076.047610812
1048576	x86_64	61546789.090987824
32	riscv64	4743274.80470812
64	riscv64	4732102.961153598
128	riscv64	4739350.563771016
256	riscv64	4747032.3082541125
512	riscv64	4765113.194783528
1024	riscv64	4796852.804210088
2048	riscv64	4860778.64964803
4096	riscv64	4978386.222893464
8192	riscv64	5199181.592022931
16384	riscv64	5619650.886904809
32768	riscv64	6474011.47418552
65536	riscv64	8206785.426420324
131072	riscv64	11647911.866505941
262144	riscv64	18501564.07607229
524288	riscv64	32056353.308937766
1048576	riscv64	59675077.59730021
