n	series	time
32	x86_64	99888573.85698274
64	x86_64	208739279.0005348
128	x86_64	413112816.4990514
256	x86_64	825304464.0005101
512	x86_64	1657119721.0032551
1024	x86_64	3222899835.000135
2048	x86_64	6181517444.001657
4096	x86_64	12996442481.999111
8192	x86_64	24632336885.999393
16384	x86_64	49195365546.9988
32768	x86_64	98815941233.99918
32	riscv64	102166059.57144307
64	riscv64	203332751.66679716
128	riscv64	405372278.9994936
256	riscv64	810065730.001952
512	riscv64	1619366820.9998577
1024	riscv64	3234957864.99916
2048	riscv64	6463500811.9985285
4096	riscv64	12915366223.998716
8192	riscv64	25817293481.99951
16384	riscv64	51618553637.00306
32768	riscv64	103243979053.00066
