n	series	time
32	x86_64	11756282.12283635
64	x86_64	23359572.96660733
128	x86_64	46299204.40008088
256	x86_64	92161001.49978957
512	x86_64	183749243.749844
1024	x86_64	367414870.49948776
2048	x86_64	734145041.9989997
4096	x86_64	1467807983.0009665
8192	x86_64	2934439404.9985566
16384	x86_64	5870801608.99859
32768	x86_64	11743754257.000546
32	riscv64	6021769.423233835
64	riscv64	12077989.249393858
128	riscv64	23874011.533013705
256	riscv64	47722578.048706055
512	riscv64	95197507.31331961
1024	riscv64	194773018.36013794
2048	riscv64	380039453.5064697
4096	riscv64	767271995.5444336
8192	riscv64	1522262811.6607666
16384	riscv64	3019198179.244995
32768	riscv64	6083853483.200073
