n	series	time
32	x86_64	5037772.930008941
64	x86_64	5021844.669048366
128	x86_64	5019493.884901749
256	x86_64	5029811.949655289
512	x86_64	5048582.652175421
1024	x86_64	5077371.528993051
2048	x86_64	5141531.4705991475
4096	x86_64	5266886.624052229
8192	x86_64	5494644.562503481
16384	x86_64	5978864.504277615
32768	x86_64	6937697.91091609
65536	x86_64	8887993.164581196
131072	x86_64	12758380.581825888
262144	x86_64	20418516.088230878
524288	x86_64	35758280.34990991
1048576	x86_64	66426024.54534922
32	riscv64	4963600.418447015
64	riscv64	4967537.978719771
128	riscv64	4963593.460980255
256	riscv64	4961306.666668442
512	riscv64	4977468.19857626
1024	riscv64	4909575.835725783
2048	riscv64	5001110.379998864
4096	riscv64	5109399.613143832
8192	riscv64	5323818.183187679
16384	riscv64	5752653.157039524
32768	riscv64	6628393.396241799
65536	riscv64	8399801.73491696
131072	riscv64	11943851.966091227
262144	riscv64	19028504.081074357
524288	riscv64	33130621.523880452
1048576	riscv64	61358595.00004285
