n	series	time
32	x86_64	37515.93423016881
64	x86_64	66688.54578359732
128	x86_64	125081.10345470828
256	x86_64	242284.51002775956
512	x86_64	475163.82472701446
1024	x86_64	942482.2140000664
2048	x86_64	1877621.5361897056
4096	x86_64	3748688.604288148
8192	x86_64	7495816.580656107
16384	x86_64	14991886.297874326
32768	x86_64	29985668.565211162
65536	x86_64	59910273.916708924
131072	x86_64	119701598.49988705
262144	x86_64	239358803.99949384
524288	x86_64	481392855.50132626
1048576	x86_64	965084807.0014036
32	riscv64	41841.909188727645
64	riscv64	73144.22550979735
128	riscv64	132700.5659842117
256	riscv64	258817.73569453895
512	riscv64	497727.22940391843
1024	riscv64	975528.0153415342
2048	riscv64	1931731.4585632076
4096	riscv64	3841944.1648379634
8192	riscv64	7662140.670308273
16384	riscv64	15298845.630399149
32768	riscv64	30536369.521660555
65536	riscv64	61086376.45460972
131072	riscv64	122469271.83332445
262144	riscv64	246086376.6670324
524288	riscv64	490859206.0000956
1048576	riscv64	979883274.0016223
