n	series	time
32	x86_64	4497.975559953263
64	x86_64	8154.876031513777
128	x86_64	15265.691404816394
256	x86_64	29743.17436478
512	x86_64	56972.55041022867
1024	x86_64	112196.3972758376
2048	x86_64	222840.2750406878
4096	x86_64	443874.59035966656
8192	x86_64	886895.6666667217
16384	x86_64	1772604.9974704336
32768	x86_64	3545452.1218391885
65536	x86_64	7089815.214292648
131072	x86_64	14186885.285699664
262144	x86_64	28427959.280088544
524288	x86_64	57307467.00010058
1048576	x86_64	124671507.83292407
32	riscv64	6319.384485763707
64	riscv64	10705.309253740701
128	riscv64	18938.352588811114
256	riscv64	35962.326194790614
512	riscv64	68904.96341518022
1024	riscv64	134461.39355229627
2048	riscv64	265797.52236310515
4096	riscv64	529309.9229332189
8192	riscv64	1051660.0565867382
16384	riscv64	2104026.7772502727
32768	riscv64	4200302.912089639
65536	riscv64	8389435.618756765
131072	riscv64	16769386.473156158
262144	riscv64	33511888.413202196
524288	riscv64	67027115.82183838
1048576	riscv64	145677900.31433105
