n	series	time
32	GCC	3138.467612216355
64	GCC	5640.764745692416
128	GCC	10445.582540237421
256	GCC	20479.218555268802
512	GCC	39504.942716826976
1024	GCC	77515.17718746356
2048	GCC	153367.01095748242
4096	GCC	311761.57766021526
8192	GCC	678780.9058259529
16384	GCC	1353569.8626741653
32768	GCC	2698821.976826851
65536	GCC	5418173.398453519
131072	GCC	10816703.296882223
262144	GCC	21653120.49999102
524288	GCC	43643317.68738338
1048576	GCC	87932057.62503931
32	Clang	3249.269429070437
64	Clang	5715.055759319673
128	Clang	10441.03439066801
256	Clang	20334.425670976438
512	Clang	39073.94909857998
1024	Clang	76628.58296769291
2048	Clang	151729.22523315623
4096	Clang	308704.77591598267
8192	Clang	672317.8828051931
16384	Clang	1339149.430207919
32768	Clang	2672805.6221332834
65536	Clang	5354775.676935857
131072	Clang	10700305.400006562
262144	Clang	21572829.156298213
524288	Clang	43831319.06251947
1048576	Clang	88386932.25015959
