n	series	time
32	GCC	3381.409926980167
64	GCC	6098.3443317067195
128	GCC	11140.628441395938
256	GCC	21779.484965303327
512	GCC	41986.55209647543
1024	GCC	82369.4984706783
2048	GCC	163053.72077317315
4096	GCC	324421.5041698321
8192	GCC	647864.0148269967
16384	GCC	1306591.5167887276
32768	GCC	2592854.981479899
65536	GCC	5182656.1790873185
131072	GCC	10368382.014918884
262144	GCC	21214889.699937582
524288	GCC	42502856.93751721
1048576	GCC	95094356.57154037
32	Clang	3573.7734429165266
64	Clang	6402.961083313175
128	Clang	11724.189438466205
256	Clang	22990.451349236762
512	Clang	44392.804236128126
1024	Clang	87276.64356928194
2048	Clang	173070.42062303462
4096	Clang	344493.4099418136
8192	Clang	688503.8602362558
16384	Clang	1375871.2514792616
32768	Clang	2751758.7598516354
65536	Clang	5496752.913382434
131072	Clang	10986656.285702279
262144	Clang	22032941.437487353
524288	Clang	44468955.93764566
1048576	Clang	99053052.42864415
