n	series	time
32	x86_64	3138.467612216355
64	x86_64	5640.764745692416
128	x86_64	10445.582540237421
256	x86_64	20479.218555268802
512	x86_64	39504.942716826976
1024	x86_64	77515.17718746356
2048	x86_64	153367.01095748242
4096	x86_64	311761.57766021526
8192	x86_64	678780.9058259529
16384	x86_64	1353569.8626741653
32768	x86_64	2698821.976826851
65536	x86_64	5418173.398453519
131072	x86_64	10816703.296882223
262144	x86_64	21653120.49999102
524288	x86_64	43643317.68738338
1048576	x86_64	87932057.62503931
32	riscv64	8704.035372915387
64	riscv64	14884.028470032636
128	riscv64	26972.769441306176
256	riscv64	51879.70932704743
512	riscv64	100169.56069935366
1024	riscv64	196820.53605391466
2048	riscv64	389868.00773637596
4096	riscv64	784333.9750929981
8192	riscv64	1630574.6034134266
16384	riscv64	3176589.896776018
32768	riscv64	6327245.452187278
65536	riscv64	12240805.796214512
131072	riscv64	24488525.73122297
262144	riscv64	49760873.501117416
524288	riscv64	100001777.92140415
1048576	riscv64	204368750.25431314
